"שם משתמש","גיל","תאריך הרשמה","תאריך עדכון אחרון","מכתב פתיחה","פרק א - סוד האושר","משימת קרמבו - אגף המשימות","פרק ב - האנשים הגדולים","פרק ג - אני טוב","פרק ד - להוקיר את החיים","!פרק ה - נעים להכיר","פרק ו - מגשימי החלומות","פרק ז - החופש הגדול","פרק ח - לרוץ עם הרצון","פרק ט - המסלול הבטוח","פרק י - לתת ולצמוח","פרק יא - ההחמצות","פרק יב - מה הם יודעים שאנחנו לא?","פרק יג","פרק יד - הבלו פרינט","פרק טו - למלא את החלל","פרק טז - מדיה הסיפור האמיתי","פרק יז - מישהו לרוץ איתו","פרק יח - טיפים של אלופים","פרק יט - אמא אדמה","פרק כג - יום השחרור","פרק כה - חוזרים לשליטה","פרק כו - אין לי כח","פרק כז - לבחור נכון","פרק כח - מה הסיפור שלי?","פרק כט - תמיד מוכן","שליטה עצמית","חיבור עצמי","מחוייבות להצלחה","מימוש עצמי"
"ממוצע משתמשים","0","","","1","1","0.047619047619047616","0.047619047619047616","0.11904761904761904","0.16666666666666666","0.047619047619047616","2","2","4","1.0714285714285714","0","0","1","3","2","0.11904761904761904","0","0","2","0","0.2619047619047619","0.2857142857142857","3","2","2","0.19047619047619047","3.039112355952381","4.594157338333333","3.9295930504761905","4.971483645714286"
"0Q66oDZb5nMvwqCtaRuUkXpX0eF2","","2020-12-30","2020-12-30","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"45brltx57cPlQRfw9KAXa4Ibrhs2","","2021-01-01","2021-01-01","1","1","0","0","0","0","0","2","2","4","7","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","3.8240917800000003","3.89863548","8.83392226","25.25252525"
"5gQFnmhyCPPGKNZiADe7GyHeb0g1","","2020-12-31","2020-12-31","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"6T3BeaY9fRPZlpzCOBsv5XTJ4Py2","","2021-01-01","2021-01-01","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"7wWYCUNl5mSvpJD5lNmXPh4bh113","","2020-12-19","2021-01-03","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"96YQs1VQUaVyLWylZCtbp5rzf4w2","","2021-01-01","2021-01-01","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"9xiGO9NWSLPCG6MUswXzBXsZkwh2","","2020-12-24","2020-12-24","1","1","0","0","2","2","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0.0","7.79727096","7.06713781","0.0"
"cK5vG4q1tcdcPgSPNgoSVBFobti2","","2020-12-18","2020-12-18","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"fpA82njrRafLH5edm9lv0mHa98D2","","2020-12-27","2020-12-27","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"FZGheSdcWNcWFAajsR8J5cVWOwv2","","2020-12-19","2021-01-03","1","1","0","0","0","0","2","2","2","4","0","0","0","1","3","2","5","0","0","2","0","0","0","3","2","2","0","43.97705545","49.51267057","21.20141343","8.08080808"
"g2eWlVEtD0dTw4WOxB4Uoy1lLF62","","2020-12-25","2020-12-25","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"gWuWbPpH9KXSQfXWH5jyVnqn85p1","","2020-12-29","2020-12-29","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"H0ezZDWeJ5X4mWPlRd5n96dyj392","","2020-12-30","2020-12-31","1","1","0","1","0","0","0","2","2","4","10","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","3","5.462986620000001","14.14647563","18.27360071","48.19625253"
"HLLRZrvDuMccFfB3LP8HEvlJAi82","","2021-01-01","2021-01-01","1","1","0","0","0","0","0","2","2","4","13","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","7.10188528","7.24032359","16.405855120000002","46.89754545"
"HPQeby4z2gMUS48NIZ4IIoDATJ73","","2020-12-22","2020-12-22","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"iMTWykj6hyYesaLfAXj1lUDMcy72","","2021-01-03","2021-01-03","1","1","0","0","1","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0.0","1.94931774","1.7667844500000003","0.0"
